Day,Month,Year,pm10_egnatia,pm10_egnatia_yest,pm10_lagkada,pm25_egnatia,no2_egnatia,so2_egnatia,temperature_egnatia,humidity_egnatia,WINDS_kord,Target
2891,1,12,2007,55,110,34,29,107,20,12.1,51,1.23,68
2892,2,12,2007,68,55,54,48,104,31,11.5,65,0.48,108
2893,3,12,2007,108,68,76,59,112,34,12,80,0.63,78
2894,4,12,2007,78,108,44,39,100,19,11.5,70,2.92,41
2895,5,12,2007,41,78,21,24,88,11,9.1,48,3.46,42
2896,6,12,2007,42,41,19,23,105,15,9.3,50,1.97,68
2897,7,12,2007,68,42,41,41,113,35,10.4,52,0.82,116
2898,8,12,2007,116,68,64,63,101,32,10.7,75,0.57,75
2899,9,12,2007,75,116,40,52,83,12,11.4,96,0.65,164
2900,10,12,2007,164,75,96,83,109,37,11.8,89,0.66,173
2901,11,12,2007,173,164,124,89,111,46,11.8,79,0.47,74
2902,12,12,2007,74,173,50,44,92,25,11.2,83,0.85,80
2903,13,12,2007,80,74,26,38,103,21,10.2,63,2.81,39
2904,14,12,2007,39,80,21,21,107,14,4.7,42,2.13,91
2905,15,12,2007,91,39,19,48,99,17,2.3,85,1.1,112
2906,16,12,2007,112,91,26,54,104,25,4.2,69,1.11,103
2907,17,12,2007,103,112,33,39,109,23,4.7,79,1.32,101
2908,18,12,2007,101,103,48,45,102,33,6.4,70,1.14,130
2909,19,12,2007,130,101,57,75,120,32,4.6,64,1.57,116
2910,20,12,2007,116,130,53,67,119,32,3.2,59,1.59,121
2911,21,12,2007,121,116,90,71,119,45,4.7,58,0.95,153
2912,22,12,2007,153,121,161,78,106,42,5.8,76,0.4,203
2913,23,12,2007,203,153,161,110,112,42,5.8,78,0.43,163
2914,24,12,2007,163,203,147,89,116,49,6.3,77,0.53,101
2915,25,12,2007,101,163,94,61,87,31,7.4,82,0.85,88
2916,26,12,2007,88,101,51,51,83,19,8.5,81,0.89,85
2917,27,12,2007,85,88,54,49,91,25,9.3,79,1.39,64
2918,28,12,2007,64,85,46,42,90,33,9.7,62,0.82,60
2919,29,12,2007,60,64,48,38,93,23,8.7,57,0.94,68
2920,30,12,2007,68,60,76,46,92,26,6.5,71,0.64,86
2921,31,12,2007,86,68,77,50,93,34,7.1,69,,50
2922,1,1,2008,50,86,41,35,63,18,6.4,79,1.74,62
2923,2,1,2008,62,50,41,36,57,41,1.1,52,3.01,48
2924,3,1,2008,48,62,40,30,74,28,1.2,51,1.56,92
2925,4,1,2008,92,48,79,54,104,48,3.3,71,1.01,55
2926,5,1,2008,55,92,43,45,84,23,5.1,89,1.25,44
2927,6,1,2008,44,55,30,36,71,13,6.2,96,0.75,115
2928,7,1,2008,115,44,50,70,81,12,8.6,91,0.8,123
2929,8,1,2008,123,115,55,64,91,11,9.7,79,1.19,92
2930,9,1,2008,92,123,72,50,107,22,9.2,74,1.12,100
2931,10,1,2008,100,92,87,53,95,30,8.5,84,0.87,103
2932,11,1,2008,103,100,87,54,100,22,9.2,79,0.95,99
2933,12,1,2008,99,103,82,52,106,32,8.8,75,0.7,86
2934,13,1,2008,86,99,86,50,92,16,8.1,82,0.55,82
2935,14,1,2008,82,86,66,48,98,15,9.4,95,0.51,129
2936,15,1,2008,129,82,72,59,106,23,9.9,83,0.94,131
2937,16,1,2008,131,129,103,64,99,27,9.1,86,0.64,123
2938,17,1,2008,123,131,100,62,91,28,10.9,88,0.6,127
2939,18,1,2008,127,123,108,65,97,35,11.7,86,0.63,123
2940,19,1,2008,123,127,97,62,99,22,10.7,83,0.66,104
2941,20,1,2008,104,123,82,52,95,21,10.7,80,0.55,132
2942,21,1,2008,132,104,123,61,126,43,11.6,71,0.47,142
2943,22,1,2008,142,132,100,67,103,39,10.8,77,1.13,65
2944,23,1,2008,65,142,31,31,98,17,8.3,65,2.32,59
2945,24,1,2008,59,65,29,28,78,26,7.4,58,0.96,67
2946,25,1,2008,67,59,54,35,94,36,7.7,61,1.09,56
2947,26,1,2008,56,67,37,29,89,21,9.3,46,1.17,77
2948,27,1,2008,77,56,58,37,99,29,11.2,38,1.83,61
2949,28,1,2008,61,77,48,27,76,12,10.2,32,3.65,32
2950,29,1,2008,32,61,15,17,82,16,6.6,32,1.39,73
2951,30,1,2008,73,32,46,36,101,31,7.5,34,1.21,100
2952,31,1,2008,100,73,72,49,95,30,8.1,59,,145
2953,1,2,2008,145,100,103,69,109,39,10.1,67,0.58,111
2954,2,2,2008,111,145,84,59,93,23,11.1,76,0.59,94
2955,3,2,2008,94,111,73,50,98,14,11.9,79,0.69,97
2956,4,2,2008,97,94,78,50,98,16,12.2,82,0.77,81
2957,5,2,2008,81,97,58,40,102,13,12.7,81,1.67,68
2958,6,2,2008,68,81,36,32,87,12,12.5,79,0.77,97
